fid,MEAN_X,MEAN_Y,DAUID
198,6966418.793,729457.0596,35370585
199,6965533.611,728702.4134,35370586
196,6965238.466,729398.4338,35370587
197,6965430.93,727554.7554,35370588
218,6955847.354,731081.4338,35370278
219,6951455.47,725510.1981,35370158
216,6947666.74,724244.8204,35370340
217,6955342.134,730584.3971,35370277
222,6955810.011,729475.1469,35370272
223,6951689.738,726123.5293,35370156
220,6955460.213,729521.0491,35370271
221,6950964.448,725887.2714,35370159
210,6947287.81,725478.9304,35370349
211,6946850.843,725066.6784,35370347
208,6947527.434,724616.9863,35370343
209,6947276.017,724917.8357,35370344
214,6948082.358,724674.0171,35370342
215,6955955.638,731190.8304,35370279
212,6947125.628,725306.7406,35370348
213,6947960.026,724299.7937,35370341
42,6952496.621,720374.3616,35370519
43,6966452.224,721245.1438,35370621
40,6969067.271,714124.4302,35370638
41,6965683.009,725729.3868,35370620
46,6969491.698,724406.9182,35370622
47,6975398.441,720381.496,35370623
44,6975830.071,724497.3174,35370624
45,6977041.784,720764.246,35370625
34,6974140.863,716704.2474,35370636
35,6973088.134,708516.1961,35370633
32,6975828.713,710236.1101,35370630
33,6976257.166,713411.4531,35370635
38,6969146.72,713759.0348,35370639
39,6969711.229,713904.021,35370637
36,6972150.875,711068.6478,35370634
37,6946112.653,724346.2485,35370329
58,6946941.864,696720.632,35370750
59,6947331.366,695968.9831,35370751
56,6952988.478,695262.7116,35370752
57,6957198.219,694513.0868,35370753
62,6947762.366,718463.2838,35370870
63,6961226.074,692013.345,35370754
60,6963423.582,696476.6407,35370756
61,6964412.955,695827.4283,35370757
50,6948393.462,718313.3374,35370871
51,6945993.677,704012.8446,35370872
48,6950910.227,705148.675,35370873
49,6951843.141,718604.9522,35370874
54,6952210.417,718111.6163,35370875
55,6952690.888,718430.1853,35370876
52,6947082.255,718868.1896,35370877
53,6947692.761,718936.0671,35370878
10,6976824.848,724638.3469,35370563
11,6977416.899,728060.0392,35370564
8,6977341.805,728451.8747,35370565
9,6977594.38,728774.8394,35370566
14,6946924.123,717944.231,35370683
15,6977959.698,728813.3186,35370567
12,6976523.283,728455.9543,35370569
13,6946874.951,718549.6952,35370682
2,6946446.502,724166.9879,35370330
3,6947071.768,717502.008,35370684
1,6945979.381,716836.199,35370687
6,6947144.448,716431.649,35370688
7,6947097.732,715150.0892,35370689
4,6946175.488,723824.5244,35370331
5,6945848.262,717631.0574,35370685
26,6946181.494,724645.0378,35370328
27,6945523.953,724619.1257,35370325
24,6945299.223,724057.8919,35370322
25,6945836.669,724928.4926,35370327
30,6976314.666,707854.843,35370632
31,6945067.267,724440.2229,35370320
28,6945577.982,724872.6146,35370326
29,6976979.636,708761.3642,35370631
18,6984079.669,728208.4552,35370561
19,6981394.752,728086.8109,35370562
16,6976662.512,729043.5965,35370568
17,6947361.46,718254.8306,35370681
22,6981755.82,729959.2078,35370560
23,6945001.434,724215.1039,35370321
20,6945377.385,724401.8973,35370323
21,6945629.695,724349.2558,35370324
106,6968286.774,713170.74,35370647
107,6968875.959,712049.4502,35370644
104,6968434.156,712550.2558,35370646
105,6945975.872,705779.4558,35370869
110,6951643.649,721035.7227,35370522
111,6951523.346,722258.4718,35370525
108,6952124.057,721604.803,35370521
109,6968401.535,712330.6758,35370645
98,6954781.301,720130.5137,35370659
99,6969582.535,713367.654,35370642
96,6945290.5,706906.7601,35370743
97,6945282.605,707375.2318,35370744
102,6968925.971,713191.8714,35370641
103,6945118.346,706354.3684,35370868
100,6969325.821,712591.5058,35370643
101,6968644.917,713351.4023,35370640
122,6978070.713,699492.4183,35370776
123,6978181.934,699989.8908,35370777
120,6977517.219,699701.2105,35370778
121,6977394.878,698977.646,35370779
126,6977464.028,698171.9954,35370770
127,6978079.279,698196.3508,35370771
124,6968229.122,713945.9493,35370648
125,6967352.052,713561.1593,35370649
114,6951704.243,721890.5093,35370523
115,6951063.278,722267.303,35370524
112,6947904.196,707858.3038,35370747
113,6950664.621,710882.0538,35370748
118,6977989.506,698812.5655,35370772
119,6978623.381,698729.6854,35370773
116,6978865.68,698317.7704,35370774
117,6978488.658,699524.0283,35370775
74,6955257.375,720414.8829,35370658
75,6957247.142,722770.4966,35370655
72,6961654.03,716076.0197,35370652
73,6954819.724,720500.7961,35370657
78,6955035.784,726083.9027,35370863
79,6963024.328,696963.6083,35370758
76,6955132.667,721115.8622,35370656
77,6955580.96,725926.1152,35370862
66,6981037.105,710042.6531,35370629
67,6978255.62,716887.329,35370626
64,6963282.248,695915.7413,35370755
65,6980571.871,713467.468,35370628
70,6959675.083,720746.4322,35370654
71,6967686.14,718264.1618,35370651
68,6984032.304,720093.2646,35370627
69,6959246.239,717849.8453,35370653
90,6945834.933,724346.8929,35370416
91,6944578.499,720776.3502,35370413
88,6944519.134,705004.181,35370741
89,6945775.768,724026.6496,35370415
94,6945236.558,710173.0089,35370745
95,6947132.234,711320.1311,35370746
92,6944735.026,703606.0964,35370740
93,6944908.738,722989.7697,35370414
82,6966520.254,714952.0852,35370650
83,6955422.941,726519.7659,35370861
80,6954936.285,726734.2214,35370860
81,6962338.401,696773.4283,35370759
86,6954625.694,726836.4588,35370864
87,6955519.4,725537.1599,35370865
84,6948108.422,722935.1454,35370866
85,6948767.984,723403.9666,35370867
426,6945325.095,716993.0129,35370708
427,6945517.021,702594.6444,35370730
424,6945250.386,716633.8867,35370709
425,6946755.096,719327.1418,35370707
430,6946092.048,701676.8405,35370735
431,6945535.75,701696.8797,35370732
428,6945576.79,702085.0794,35370731
429,6946184.366,701367.1034,35370734
418,6988645.078,702589.5091,35370831
419,6945198.19,718723.9122,35370705
416,6987016.11,702529.1935,35370833
417,6988311.377,701350.4548,35370834
422,6944284.598,718025.5063,35370703
423,6944594.6,718598.7406,35370704
420,6987345.283,701240.2727,35370832
421,6946524.927,718912.1571,35370706
442,6988116.457,672808.4327,35370839
443,6948326.236,727368.49,35370194
440,6961681.408,728228.8255,35370611
441,6961923.454,728093.827,35370612
446,6947940.602,727311.5668,35370192
447,6991391.34,724483.6995,35370822
444,6948555.003,727377.5358,35370195
445,6955922.695,728184.988,35370079
434,6982849.051,699847.5982,35370837
435,6980692.915,698985.4371,35370838
432,6945426.154,701490.3629,35370733
433,6960685.49,728403.0277,35370610
438,6961809.365,728945.866,35370614
439,6982869.582,701132.4545,35370836
436,6961838.676,728446.2075,35370613
437,6984275.239,700845.5106,35370835
394,6953941.758,725904.828,35370121
395,6954387.59,726365.1649,35370122
392,6955781.805,726315.2913,35370128
393,6950865.754,727273.3358,35370241
398,6999952.46,710281.5549,35360455
399,7000696.498,705625.708,35360450
396,6953728.479,725291.3219,35370120
397,6999698.037,716047.9201,35360454
386,6952079.651,726629.6032,35370249
387,6954208.826,726662.1004,35370123
384,7000034.443,726743.799,35360301
385,6952045.052,727134.1464,35370248
390,6950819.894,727895.7161,35370243
391,6951541.222,726759.3976,35370240
388,6956105.419,726611.8275,35370129
389,6951169.282,727448.3405,35370242
410,6958794.588,708100.4992,35370718
411,6959238.904,704124.5455,35370719
408,6954553.815,708201.8194,35370714
409,6956305.484,708053.5366,35370715
414,6945526.661,717467.9231,35370700
415,6988788.238,702000.4452,35370830
412,6944922.214,717854.8985,35370701
413,6945016.807,718206.6883,35370702
402,6951061.644,714967.8436,35370712
403,6952623.713,714598.0997,35370713
400,6999258.749,729457.5244,35360448
401,7000587.794,723695.2364,35360442
406,6957452.222,709388.3625,35370716
407,6957497.572,709043.105,35370717
404,6947051.675,712755.2585,35370710
405,6948409.489,713401.4175,35370711
490,6959903.176,727506.4484,35370851
491,6959812.993,727114.9804,35370852
488,6989471.363,700836.3459,35370828
489,6989957.136,701414.118,35370829
494,6953777.751,721196.3991,35370850
495,6948457.573,726483.9427,35370181
492,6948092.195,726660.8269,35370183
493,6948154.486,726978.0437,35370184
482,6999132.033,708598.2088,35370824
483,6961167.055,729534.5216,35370603
480,6989172.427,701474.1769,35370827
481,6961306.432,729937.2597,35370602
486,6961478.771,730327.0469,35370600
487,6961704.363,729836.9218,35370601
484,7000372.554,706137.9089,35370825
485,6947041.354,727005.2602,35370189
506,6947613.012,726762.7376,35370186
507,6958249.23,727500.6397,35370062
504,6947860.638,726835.0337,35370185
505,6946212.76,702644.8737,35370728
510,6946846.78,702578.3565,35370726
511,6957956.025,726518.2404,35370060
508,6947054.703,702177.0707,35370725
509,6958366.939,727235.7093,35370063
498,6959065.487,727766.589,35370856
499,6947536.156,726612.9849,35370187
496,6959340.18,727832.4532,35370855
497,6948378.64,726751.2035,35370182
502,6960488.423,728095.0174,35370854
503,6946662.639,702705.8608,35370727
500,6960472.969,727949.502,35370853
501,6947285.969,726507.8567,35370188
458,6946198.185,702132.4756,35370736
459,6957780.835,728123.1201,35370073
456,6944930.784,700048.5342,35370739
457,6948825.673,727464.5043,35370197
462,6958259.135,729153.2943,35370072
463,6957081.041,727850.6015,35370077
460,6946188.431,701063.8451,35370737
461,6957515.767,728000.3516,35370074
450,6948908.529,727771.918,35370198
451,6993622.794,718800.8972,35370820
448,6948077.072,727174.4349,35370193
449,6999094.68,723759.5902,35370823
454,6989413.204,723342.9339,35370821
455,6948435.706,727559.1454,35370196
452,6949156.471,727596.4634,35370199
453,6946230.127,700789.0609,35370738
474,6947202.301,702031.8892,35370724
475,6956131.688,727433.7151,35370080
472,6947308.19,702747.0516,35370723
473,6961530.321,725548.3959,35370619
478,6947465.447,703297.0672,35370722
479,6988364.722,701052.1525,35370826
476,6951483.154,699477.9025,35370721
477,6956444.602,727484.9576,35370081
466,6961404.658,726330.391,35370618
467,6957191.572,727915.532,35370075
464,6957394.562,727140.2326,35370078
465,6960849.813,727125.9592,35370617
470,6955049.059,699818.9734,35370720
471,6961972.076,727468.2706,35370616
468,6961585.863,729151.3686,35370615
469,6957453.345,727337.0471,35370076
298,6959247.597,727192.1361,35370052
299,6959454.679,727424.0896,35370050
296,6949016.41,725839.2373,35370175
297,6959437.934,726870.5787,35370051
302,6948216.204,726316.747,35370180
303,6959044.568,727162.5804,35370053
300,6958804.052,726839.409,35370055
301,6958768.146,726543.4863,35370056
290,7000324.677,708272.5946,35360352
291,6949111.037,725207.1772,35370170
288,6949188.4,725542.8272,35370173
289,6959167.013,726603.7117,35370057
294,6948669.373,725916.7366,35370177
295,6948803.353,725740.2464,35370174
292,6949380.234,724749.9501,35370171
293,6948754.748,726113.4241,35370176
314,6951227.718,724940.5541,35370161
315,6951686.959,725238.8358,35370162
312,6956565.594,730737.8155,35370284
313,6956916.632,730398.3125,35370285
318,6949959.598,725346.3797,35370166
319,6956258.093,729718.7744,35370290
316,6951074.884,725333.3284,35370160
317,6950416.656,724858.288,35370165
306,6956138.282,730790.1309,35370289
307,6949402.792,725070.2983,35370169
304,6958800.177,727211.3292,35370054
305,6956527.8,730345.9213,35370288
310,6956987.268,730592.3555,35370286
311,6956813.136,729864.5414,35370287
308,6949893.797,724796.8077,35370167
309,6949503.187,725233.6602,35370168
266,6953299.945,722747.9987,35370142
267,6950855.685,721269.433,35370369
264,6952995.481,723364.8887,35370144
265,6954720.041,722165.1212,35370141
270,6950556.935,722122.4798,35370364
271,6949762.107,722696.0131,35370361
268,6949936.305,723207.1923,35370360
269,6950223.652,722493.7183,35370363
258,6954392.434,722421.2876,35370140
259,6951002.198,721688.8622,35370367
256,6953036.819,728890.2624,35370262
257,6952485.132,729131.558,35370263
262,6953264.945,723029.9686,35370143
263,6950722.906,721326.8071,35370366
260,6951320.854,721121.6929,35370368
261,6950361.899,721777.6642,35370365
282,6955888.201,729081.4667,35370297
283,6955345.238,729067.9686,35370298
280,6948280.26,725749.1091,35370179
281,6956636.152,729449.888,35370292
286,6956296.34,728855.9175,35370296
287,6948741.964,725154.312,35370172
284,6957372.616,729281.3881,35370295
285,6957038.907,726717.9788,35370059
274,6955175.251,728739.834,35370299
275,6998717.084,728544.3905,35360358
272,6950376.902,722693.7193,35370362
273,6998809.658,728062.1174,35360357
278,6948417.561,726196.3014,35370178
279,6956252.392,729306.849,35370291
276,6956896.08,729301.4972,35370293
277,6957034.203,729486.4807,35370294
362,6953911.774,727401.2642,35370109
363,6952575.747,728150.2958,35370255
360,6952825.445,728440.1747,35370257
361,6953157.268,728114.9338,35370258
366,6954155.393,724166.1492,35370136
367,6953706.848,723311.5262,35370137
364,6952300.503,727991.8644,35370256
365,6953079.05,727544.9003,35370259
354,6949714.908,728378.3245,35370220
355,6954341.55,727587.913,35370108
352,6953894.215,728673.003,35370101
353,6953332.621,728457.5156,35370102
358,6954104.359,727760.6965,35370106
359,6953341.084,728663.8037,35370100
356,6950330.094,728395.9825,35370221
357,6953689.495,727773.0524,35370105
378,6955831.267,725976.7486,35370131
379,6951888.207,728161.5988,35370246
376,6952590.309,727050.4396,35370252
377,6956151.727,725828.5236,35370130
382,6999603.631,727473.0484,35360300
383,6951345.247,728016.2541,35370245
380,6951508.674,727501.8644,35370247
381,6950828.289,728453.7583,35370244
370,6956336.733,725393.8548,35370135
371,6952855.605,727603.1839,35370253
368,6952264.61,726614.6013,35370250
369,6954466.893,725695.9823,35370134
374,6952447.42,726378.6289,35370251
375,6954143.802,722678.4901,35370139
372,6952738.134,727838.9591,35370254
373,6953940.858,723015.1742,35370138
330,6952919.568,726645.2472,35370115
331,6953751.941,726663.2157,35370112
328,6949719.582,725667.011,35370238
329,6953144.61,727103.9301,35370114
334,6950552.12,726516.9998,35370231
335,6952942.447,725199.7786,35370119
332,6953388.078,726811.6958,35370113
333,6953219.841,725816.1743,35370118
322,6950025.753,726578.6606,35370235
323,6950107.489,725912.5236,35370236
320,6950731.989,725150.9883,35370163
321,6950457.841,725223.9941,35370164
326,6949582.996,726247.1269,35370239
327,6950612.031,725643.3083,35370237
324,6950506.137,726112.6014,35370233
325,6950248.146,726299.761,35370234
346,6950591.295,727084.0385,35370228
347,6950848.795,726748.9721,35370229
344,6950158.746,728103.8734,35370222
345,6950388.237,727634.4889,35370223
350,6953776.983,728285.7196,35370103
351,6953493.96,728035.3356,35370104
348,6950272.6,727125.4265,35370226
349,6950344.154,726821.2465,35370227
338,6952890.844,726196.837,35370117
339,6951013.068,726329.0784,35370230
336,6950764.397,726255.7695,35370232
337,6953243.162,726293.4125,35370116
342,6950193.316,727613.0343,35370224
343,6950432.675,727247.2414,35370225
340,6954208.156,727157.8246,35370110
341,6953761.243,726971.0811,35370111
672,6974193.586,701401.4635,35370780
650,6988934.947,704160.913,35370785
651,6988482.993,703703.1605,35370786
648,6947037.498,726386.1238,35370307
649,6946518.252,726696.3248,35370308
654,6975109.434,727867.9629,35370573
655,6986816.108,705997.6521,35370784
652,6975637.871,728082.7947,35370572
653,6983510.584,706633.6434,35370783
642,6944492.616,716592.5123,35370694
643,6972981.686,728015.7809,35370578
640,6974975.847,728061.1497,35370575
641,6944518.206,716384.9267,35370693
646,6971071.316,727605.7485,35370579
647,6944207.829,714013.8509,35370692
644,6946375.355,726514.24,35370309
645,6945022.123,715060.3128,35370691
666,6947561.319,723374.5397,35370339
667,6947055.277,723243.2761,35370336
664,6989305.129,702620.4138,35370788
665,6947184.805,723907.7781,35370338
670,6981870.261,703946.3733,35370782
671,6946745.762,717032.4439,35370686
668,6946857.291,723640.2191,35370337
669,6980831.382,703464.8654,35370781
658,6989279.078,702316.003,35370789
659,6975921.147,727995.5778,35370571
656,6976697.374,727988.4008,35370570
657,6946072.895,722654.395,35370334
662,6989326.915,703095.3362,35370787
663,6946275.21,723328.728,35370333
660,6946969.912,723011.6272,35370335
661,6946547.876,723819.3168,35370332
554,6992542.287,698508.6671,35370811
555,6995763.639,698338.6504,35370812
552,6954226.591,728492.724,35370092
553,6954829.031,728328.5718,35370090
558,6948959.53,719377.8781,35370676
559,6951156.571,718807.1947,35370673
556,6991013.693,699764.3112,35370810
557,6949493.767,719495.2713,35370675
546,6955267.29,727161.1896,35370083
547,6954779.093,727681.4303,35370088
544,6953850.998,720554.5311,35370847
545,6955746.305,727106.3232,35370082
550,6955237.903,727675.4391,35370087
551,6954445.987,728196.3438,35370091
548,6954979.59,728050.5671,35370089
549,6954932.088,727400.1854,35370086
570,6994048.971,710962.6296,35370817
571,6996046.873,714376.2988,35370818
568,6956329.93,731184.8026,35370554
569,6996033.342,733002.4247,35370555
574,6951267.184,718382.3441,35370671
575,6988757.717,732563.1918,35370559
572,6957173.033,731386.5574,35370553
573,6987970.985,731614.5912,35370558
562,6996958.398,709416.3678,35370816
563,6995191.611,696616.2283,35370813
560,6992417.646,706082.2985,35370815
561,6950283.519,719314.7661,35370674
566,6986676.01,709354.359,35370819
567,6948570.178,719268.3524,35370678
564,6995142.916,702733.5221,35370814
565,6948461.067,719678.6688,35370677
522,6960496.615,729517.7677,35370605
523,6960730.707,728959.7858,35370608
520,6960801.627,729970.4567,35370604
521,6958590.936,727667.6603,35370065
526,6958794.195,727803.7104,35370857
527,6959075.985,728319.6579,35370858
524,6961162.502,728899.0093,35370609
525,6955109.069,727089.7467,35370859
514,6958319.542,727919.075,35370066
515,6947236.926,727071.754,35370190
512,6958106.349,727220.6598,35370061
513,6946504.42,703384.9292,35370729
518,6961294.663,730601.9721,35370607
519,6958180.343,727699.7102,35370064
516,6960178.352,730577.2724,35370606
517,6947558.905,727267.3355,35370191
538,6953077.009,729243.6125,35370099
539,6953583.027,729516.3481,35370097
536,6954586.891,728661.232,35370093
537,6954090.281,729055.8627,35370094
542,6953014.08,721095.3185,35370849
543,6953502.359,720370.1573,35370846
540,6953651.66,729118.6987,35370098
541,6953278.801,720696.059,35370848
530,6964072.15,712518.4503,35370844
531,6953500.393,720316.0458,35370845
528,6963085.917,692118.6756,35370840
529,6963725.442,691630.7921,35370841
534,6954081.627,729290.633,35370095
535,6954104.967,729611.453,35370096
532,6968194.644,705454.83,35370842
533,6965105.42,708854.2675,35370843
618,6990282.676,702606.0143,35370795
619,6958203.457,730554.8925,35370301
616,6990967.025,702714.455,35370797
617,6990276.849,702166.5965,35370794
622,6954938.358,728919.9519,35370300
623,6990101.761,703525.2167,35370799
620,6959358.598,730442.8686,35370302
621,6990142.576,702876.969,35370798
610,6951016.348,724045.7733,35370545
611,6954165.795,719726.9863,35370661
608,6951924.081,724268.0375,35370548
609,6954666.129,719825.8331,35370660
614,6944736.253,724225.0725,35370319
615,6990733.537,702455.624,35370796
612,6950920.691,724444.0479,35370546
613,6945267.886,725280.5288,35370318
634,6943804.358,717465.5995,35370696
635,6945161.462,717373.0403,35370699
632,6944605.401,717745.2758,35370698
633,6944382.833,717025.4156,35370695
638,6945028.729,715927.3811,35370690
639,6975085.437,727784.5982,35370574
636,6975290.245,728607.3579,35370576
637,6973528.264,728480.3432,35370577
626,6948638.928,727863.9561,35370304
627,6989915.408,702183.4384,35370792
624,6949436.164,727877.2697,35370305
625,6946820.095,726806.5043,35370306
630,6944662.296,717356.3152,35370697
631,6989709.756,702090.5702,35370791
628,6989917.96,702562.2887,35370793
629,6989429.823,702017.3016,35370790
586,6945727.641,725285.1289,35370316
587,6945380.978,725210.6,35370317
584,6946636.756,726147.9929,35370310
585,6946407.588,726058.888,35370311
590,6953575.031,719885.274,35370664
591,6953149.843,719237.5183,35370665
588,6946052.127,725516.1374,35370314
589,6945518.764,725576.947,35370315
578,6997315.365,730794.9255,35370557
579,6991484.186,701981.6395,35370800
576,6951923.748,718520.4802,35370672
577,6991313.818,731797.1609,35370556
582,6946309.423,726018.8074,35370312
583,6945830.591,726237.4339,35370313
580,6952181.346,718056.3915,35370670
581,6990762.173,701803.4624,35370801
602,6953738.593,718874.6784,35370667
603,6990152.827,699895.8293,35370809
600,6989924.052,700112.1738,35370808
601,6951317.052,723603.7397,35370543
606,6990115.645,700975.0456,35370807
607,6951786.354,724519.7275,35370547
604,6951492.837,724155.2473,35370544
605,6990755.005,700908.8177,35370806
594,6953623.893,719279.1804,35370663
595,6991148.971,701395.4397,35370805
592,6953796.523,719619.3675,35370662
593,6990990.453,701260.4917,35370804
598,6990683.049,701241.7692,35370803
599,6953601.971,718994.9932,35370666
596,6955214.884,717452.7619,35370668
597,6990551.735,701687.9196,35370802
170,6948991.822,726268.0444,35370208
171,6949231.896,726401.1216,35370209
168,6949781.555,721493.5782,35370388
169,6949938.915,719748.6969,35370381
174,6949419.711,720691.7995,35370383
175,6949746.584,720882.0013,35370384
172,6950057.436,720665.1253,35370385
173,6950140.716,720388.6202,35370386
162,6949041.724,726812.7754,35370204
163,6948825.306,727056.5314,35370205
160,6948551.72,726889.968,35370206
161,6948679.247,726547.9241,35370207
166,6949499.375,721611.5132,35370389
167,6950333.27,721147.3124,35370387
164,6977558.12,697802.7603,35370769
165,6999560.424,732129.2349,35360510
186,6963892.859,729713.0149,35370593
187,6946511.46,725528.1857,35370357
184,6963635.369,729711.2814,35370592
185,6946693.878,725589.4082,35370356
190,6949787.072,724150.2014,35370358
191,6948432.794,724174.698,35370359
188,6947173.942,725969.4907,35370354
189,6946902.504,725830.3498,35370355
178,6962272.233,729082.8994,35370596
179,6962044.394,729399.9712,35370597
176,6962045.836,729906.7398,35370598
177,6962122.476,730236.3436,35370599
182,6963205.189,729615.9091,35370594
183,6962812.642,729749.8364,35370595
180,6964041.881,728845.1641,35370590
181,6964264.101,729131.2449,35370591
138,6973066.23,695625.5243,35370764
139,6965566.964,701199.8186,35370761
136,6949452.34,726576.0288,35370210
137,6969036.152,694326.4482,35370763
142,6976361.844,697434.5487,35370768
143,6948603.703,722368.231,35370398
140,6968469.511,697955.6532,35370762
141,6976422.055,697207.2281,35370767
130,6949679.113,726739.3829,35370211
131,6949967.632,726915.3284,35370212
128,6949729.291,727201.8811,35370213
129,6950052.661,727164.1558,35370214
134,6949700.456,727493.5198,35370215
135,6950025.756,727502.0444,35370216
132,6949712.498,727715.4088,35370217
133,6949941.145,727992.518,35370218
154,6948741.503,721365.4448,35370394
155,6949290.675,727133.6676,35370202
152,6948051.657,721144.2095,35370396
153,6948429.848,720702.9328,35370397
158,6949112.514,727271.5573,35370200
159,6949464.184,727432.3538,35370201
156,6948603.522,721715.091,35370395
157,6949135.349,727075.4482,35370203
146,6949029.541,722066.1936,35370392
147,6949600.632,728078.3446,35370219
144,6975542.154,697495.5607,35370765
145,6979257.788,697703.0439,35370766
150,6949580.921,722146.0902,35370390
151,6949246.651,722234.3686,35370391
148,6949290.623,721499.2977,35370393
149,6964648.944,698685.7132,35370760
234,6951721.904,725709.1316,35370155
235,6952366.899,719230.8705,35370377
232,6952069.395,725859.5052,35370154
233,6952259.147,719734.3247,35370376
238,6951153.765,720650.6475,35370370
239,6950577.783,720737.7381,35370371
236,6952036.422,725275.3713,35370152
237,6952270.986,725399.5133,35370153
226,6955657.94,730301.7018,35370275
227,6955635.88,730700.9607,35370276
224,6951351.614,725988.7296,35370157
225,6955081.033,729566.0993,35370270
230,6952127.196,724622.7628,35370150
231,6952024.395,724862.472,35370151
228,6955271.778,729882.2041,35370273
229,6956070.746,730024.089,35370274
250,6952451.601,724036.0784,35370148
251,6952953.97,728657.2248,35370261
248,6952502.335,724007.0376,35370147
249,6953577.721,727494.5756,35370260
254,6952481.694,728800.5923,35370264
255,6952261.907,724454.4563,35370149
252,6953033.189,723696.5028,35370145
253,6952637.353,722935.2809,35370146
242,6951109.945,720263.7862,35370372
243,6954007.887,729809.5312,35370268
240,6951447.807,719729.9325,35370374
241,6951713.736,719879.0204,35370375
246,6951993.057,728669.8185,35370266
247,6951519.963,728732.1629,35370267
244,6950855.13,719679.609,35370373
245,6954716.453,729543.7094,35370269
202,6967452.069,728464.9302,35370583
203,6967686.473,728839.6765,35370584
200,6964716.808,727708.3092,35370589
201,6970652.078,728161.5058,35370580
206,6971364.264,728640.9789,35370582
207,6946676.187,724809.2086,35370346
204,6969829.21,728114.551,35370581
205,6947237.714,724583.4256,35370345
194,6947722.812,725385.938,35370350
195,6948227,725392.2811,35370351
192,6947852.244,726424.297,35370352
193,6947577.162,726023.3605,35370353
